"0101","Live horses, asses, mules and hinnies:","马、驴、骡："
"0101_-Horses:","-Horses:","-马："
"01012100","--Purebred breeding animals","--改良种用"
"0101210010","---Males","---公"
"0101210020","---Females","---母"
"01012900","--Other","--其他"
"0101290010","---Imported for immediate slaughter","---进口立即屠宰"
"0101290090","---Other","---其他"
"0101300000","-Asses","-驴："
"010190","-Other:","-其他"
"0101903000","--Imported for immediate slaughter","--进口立即屠宰"
"0101904000","--Other","--其他"
"0102","Live bovine animals:","牛："
"0102_-Cattle:","-Cattle:","-家牛："
"01022100","--Purebred breeding animals","--改良种用"
"01022100_---Dairy:","---Dairy:","---奶业"
"0102210010","----Male","----公"
"0102210020","----Female","----母"
"01022100_---Other:","---Other:","---其他"
"0102210030","----Male","----公"
"0102210050","----Female","----母"
"010229","--Other:","--其他"
"01022920","---Cows imported specially for dairy purposes","---进口奶牛"
"0102292011","----Weighing less than 90 kg each","----重量小于90公斤"
"0102292012","----Weighing 90 kg or more each","----各重90公斤或以上"
"01022940","---Other","---其他"
"55abe740ef06bc8867544c7fded3cc5e","----Weighing less than 90 kg each:","----重量小于90公斤"
"0102294024","-----Male","-----公"
"0102294028","-----Female","-----母"
"e2cde9dfd9e5b6dda107417904f458f6","----Weighing 90 kg or more but less than 200 kg each:","----重量在90公斤或以上但小于200公斤"
"0102294034","-----Male","-----公"
"0102294038","-----Female","-----母"
"0e67b6d4dec7c5b944ef682fdcbe30ce","----Weighing 200 kg or more but less than 320 kg each:","----重量在200公斤或以上但小于320公斤"
"0102294054","-----Male","-----公"
"0102294058","-----Female","-----母"
"24f32028e80d9b35a66cdb4a0bca0b05","----Weighing 320 kg or more each:","----各重320公斤或以上"
"3dbfc1092978592c44ee98efb5545616","-----For immediate slaughter:","-----立即屠杀"
"0102294062","------Steers","------舵手"
"0102294064","------Bulls","------公牛"
"0102294066","------Cows","------奶牛"
"0102294068","------Heifers","------小母牛"
"bd4021274d5d62f3aa6d39e8a3489a00","-----For breeding:","-----用于繁殖"
"0102294072","------Male","------公"
"0102294074","------Female","------母"
"7d71e0f78aff2b1885694cae3e60f5e1","-----Other:","-----其他"
"0102294082","------Male","------公"
"0102294084","------Female","------母"
"0102_-Buffalo:","-Buffalo:","-水牛："
"01023100","--Purebred breeding animals","--改良种用"
"0102310010","---Male","---公"
"0102310020","---Female","---母"
"01023900","--Other","--其他"
"0102390010","---Bison","---野牛"
"01023900_---Other:","---Other:","---其他"
"cfaa358a90dfc0f9925dcb32c9d4a55f","----Weighing less than 90 kg each:","----重量小于90公斤"
"0102390024","-----Male","-----公"
"0102390028","-----Female","-----母"
"6832fc1e9f27522d20147bd21125e29a","----Weighing 90 kg or more but less than 200 kg each:","----重量在90公斤或以上但小于200公斤"
"0102390034","-----Male","-----公"
"0102390038","-----Female","-----母"
"ab5ba5f4dc229889a43cbe3ae2333964","----Weighing 200 kg or more but less than 320 kg each:","----重量在200公斤或以上但小于320公斤"
"0102390054","-----Male","-----公"
"0102390058","-----Female","-----母"
"8c258e80742059df140eccd79acc4855","----Weighing 320 kg or more each:","----各重320公斤或以上"
"0102390061","-----For immediate slaughter","-----立即屠杀"
"374b7ad7610d29bbec6907f06c917009","-----For breeding:","-----用于繁殖"
"0102390072","------Male","------公"
"0102390074","------Female","------母"
"7448005093c62501cf2b2df0bf0c89b1","-----Other:","-----其他"
"0102390082","------Male","------公"
"0102390084","------Female","------母"
"0102900000","-Other","-其他："
"0103","Live swine:","猪："
"0103100000","-Purebred breeding animals","-改良种用"
"0103_-Other:","-Other:","-其他："
"01039100","--Weighing less than 50 kg each","--重量在50千克以下："
"0103910010","---Weighing less than 7 kg each","---每个重量小于7公斤"
"0103910020","---Weighing 7 kg or more but less than 23 kg each","---每只重7公斤或以上但小于23公斤"
"0103910030","---Weighing 23 kg or more but less than 50 kg each","---重量23公斤或以上，但每个重量不超过50公斤"
